,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
Strategy,10,77,0.09,0.82,-0.26,17.428358736760327
Strategy,10,73,0.09,0.81,-0.28,16.90757264416686
Strategy,10,74,0.09,0.81,-0.28,16.671264552434767
Strategy,10,78,0.09,0.8,-0.27,16.578378714984545
Strategy,10,76,0.09,0.8,-0.27,16.528833942120027
Strategy,13,72,0.09,0.8,-0.23,16.49441592911395
Strategy,11,78,0.09,0.79,-0.28,16.441082915690423
Strategy,11,75,0.09,0.79,-0.26,16.34761354745471
Strategy,10,75,0.09,0.8,-0.29,16.27751981496916
Strategy,11,76,0.09,0.79,-0.25,16.236404136628686
Strategy,11,73,0.09,0.79,-0.27,16.156623558254008
Strategy,11,77,0.09,0.79,-0.27,16.08028160551709
Strategy,10,72,0.09,0.8,-0.28,16.07626395953575
Strategy,13,73,0.09,0.79,-0.22,16.067443212804854
Strategy,11,74,0.09,0.79,-0.26,15.812679707958145
Strategy,12,74,0.09,0.78,-0.28,15.798021454252735
Strategy,13,74,0.09,0.78,-0.22,15.75082191850577
Strategy,12,76,0.09,0.78,-0.26,15.663045914168343
Strategy,13,75,0.09,0.78,-0.24,15.660482240538466
Strategy,10,81,0.09,0.78,-0.29,15.542841286159973
Strategy,10,79,0.09,0.78,-0.29,15.513737151875988
Strategy,12,77,0.09,0.77,-0.27,15.434504321800494
Strategy,10,80,0.09,0.78,-0.3,15.411273082071265
Strategy,12,73,0.09,0.77,-0.28,15.22181152078942
Strategy,10,71,0.09,0.78,-0.27,15.126034314506413
Strategy,14,65,0.09,0.77,-0.26,15.012018712950947
Strategy,12,75,0.09,0.76,-0.27,14.948725619793919
Strategy,13,77,0.09,0.76,-0.25,14.61214429037336
Strategy,12,79,0.09,0.76,-0.27,14.602145418179692
Strategy,12,78,0.09,0.76,-0.28,14.53162897410906
Strategy,12,80,0.09,0.76,-0.3,14.440188086912007
Strategy,14,66,0.09,0.76,-0.26,14.197089981383433
Strategy,12,71,0.09,0.75,-0.28,14.136222879592406
Strategy,10,70,0.09,0.76,-0.23,14.10083576073843
Strategy,14,74,0.09,0.75,-0.22,14.09511387321498
Strategy,13,78,0.09,0.75,-0.27,14.078201901067153
Strategy,11,72,0.09,0.75,-0.28,14.067285245909277
