,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
Strategy,10,77,0.09,0.82,-0.26,17.773191001417704
Strategy,10,73,0.09,0.82,-0.28,17.24207301835887
Strategy,10,74,0.09,0.81,-0.28,17.001118929169493
Strategy,10,78,0.09,0.81,-0.27,16.906338061513157
Strategy,10,76,0.09,0.81,-0.27,16.855840651246915
Strategy,13,72,0.09,0.8,-0.23,16.820730774343456
Strategy,11,78,0.09,0.8,-0.28,16.766404055837274
Strategy,11,75,0.09,0.8,-0.26,16.67105987548104
Strategy,10,75,0.09,0.8,-0.29,16.599534836530626
Strategy,11,76,0.09,0.8,-0.25,16.55765719501749
Strategy,11,73,0.09,0.8,-0.27,16.47627778828316
Strategy,11,77,0.09,0.79,-0.27,16.39845876943646
Strategy,10,72,0.09,0.8,-0.28,16.394353025952192
Strategy,13,73,0.09,0.79,-0.22,16.385312092493184
Strategy,11,74,0.09,0.79,-0.26,16.125549871826713
Strategy,12,74,0.09,0.79,-0.28,16.110570866582233
Strategy,13,74,0.09,0.79,-0.22,16.062458208762866
Strategy,12,76,0.09,0.78,-0.26,15.972923113923091
Strategy,13,75,0.09,0.78,-0.24,15.970328335858405
Strategy,10,81,0.09,0.79,-0.29,15.85039478042594
Strategy,10,79,0.09,0.79,-0.29,15.820619019880342
Strategy,12,77,0.09,0.78,-0.27,15.739872263087634
Strategy,10,80,0.09,0.79,-0.3,15.716201053809122
Strategy,12,73,0.09,0.78,-0.28,15.522999819237095
Strategy,10,71,0.09,0.79,-0.27,15.425319408109225
Strategy,14,65,0.09,0.78,-0.26,15.309046218785513
Strategy,12,75,0.09,0.77,-0.27,15.244465848288618
Strategy,13,77,0.09,0.76,-0.25,14.901242641769748
Strategy,12,79,0.09,0.76,-0.27,14.89101987637141
Strategy,12,78,0.09,0.76,-0.28,14.819122940550177
Strategy,12,80,0.09,0.76,-0.3,14.725857831380747
Strategy,14,66,0.09,0.76,-0.26,14.477994875546374
Strategy,12,71,0.09,0.76,-0.28,14.415901165492913
Strategy,10,70,0.09,0.77,-0.23,14.379862789935958
Strategy,14,74,0.09,0.75,-0.22,14.373997147985158
Strategy,13,78,0.09,0.75,-0.27,14.356731053708021
Strategy,11,72,0.09,0.76,-0.28,14.345580357868117
Strategy,10,96,0.09,0.76,-0.29,14.248036124972238
Strategy,13,76,0.09,0.75,-0.24,14.231595430807804
Strategy,15,73,0.09,0.75,-0.25,14.206509752248273
Strategy,12,81,0.09,0.75,-0.27,14.189413060950727
Strategy,10,65,0.09,0.77,-0.2,14.173652614817634
Strategy,14,76,0.09,0.75,-0.24,14.168035849335574
Strategy,10,66,0.09,0.76,-0.22,14.14365790326522
Strategy,15,75,0.09,0.75,-0.25,14.113354511419852
Strategy,14,72,0.09,0.75,-0.23,14.111841125530406
Strategy,15,70,0.09,0.75,-0.24,14.058852277534196
Strategy,13,80,0.09,0.75,-0.27,14.005982184146616
Strategy,12,70,0.09,0.75,-0.29,13.960396404697814
Strategy,12,72,0.09,0.75,-0.28,13.923537543508687
Strategy,14,73,0.09,0.74,-0.24,13.857929260778088
Strategy,10,95,0.09,0.75,-0.3,13.838119499480873
Strategy,13,79,0.08,0.74,-0.29,13.775526419899963
Strategy,14,67,0.08,0.75,-0.26,13.744187568661081
Strategy,14,71,0.08,0.74,-0.25,13.722089909754391
Strategy,15,74,0.08,0.74,-0.25,13.708036781453199
Strategy,10,69,0.08,0.75,-0.23,13.7061688748874
Strategy,12,82,0.08,0.74,-0.28,13.695125059799958
Strategy,13,96,0.08,0.74,-0.29,13.679088519317034
Strategy,15,69,0.08,0.74,-0.24,13.662180776970658
Strategy,15,71,0.08,0.74,-0.23,13.627796960459603
Strategy,14,64,0.08,0.75,-0.28,13.61355932888257
Strategy,11,68,0.08,0.75,-0.23,13.61289530335429
Strategy,14,75,0.08,0.74,-0.24,13.529271378037762
Strategy,11,71,0.08,0.75,-0.27,13.502994586549768
Strategy,13,98,0.08,0.73,-0.3,13.502672064816279
Strategy,15,67,0.08,0.74,-0.25,13.471666189086786
Strategy,10,113,0.08,0.74,-0.28,13.467090668487634
Strategy,13,71,0.08,0.74,-0.28,13.430948432515253
Strategy,10,68,0.08,0.75,-0.23,13.404031873720669
Strategy,10,109,0.08,0.74,-0.26,13.38320125806064
Strategy,16,71,0.08,0.73,-0.28,13.277175769357996
Strategy,14,77,0.08,0.73,-0.27,13.252768627259917
Strategy,10,108,0.08,0.73,-0.27,13.244564789551152
Strategy,11,95,0.08,0.73,-0.3,13.221119428959426
Strategy,10,64,0.08,0.74,-0.23,13.20151103390221
Strategy,10,98,0.08,0.74,-0.3,13.161192339025046
Strategy,11,67,0.08,0.74,-0.25,13.15238567259193
Strategy,14,68,0.08,0.73,-0.26,13.112452386712768
Strategy,15,63,0.08,0.73,-0.28,13.08692637669938
Strategy,11,65,0.08,0.74,-0.25,13.054044060972853
Strategy,11,69,0.08,0.74,-0.26,13.023882262743351
Strategy,15,68,0.08,0.73,-0.25,13.016341301283859
Strategy,10,67,0.08,0.74,-0.22,13.009662492243809
Strategy,15,72,0.08,0.73,-0.26,12.99826444062793
Strategy,10,110,0.08,0.73,-0.26,12.967622211577318
Strategy,11,66,0.08,0.74,-0.25,12.967489907394377
Strategy,13,81,0.08,0.72,-0.27,12.959385436208187
Strategy,13,88,0.08,0.72,-0.3,12.91296107908304
Strategy,10,111,0.08,0.73,-0.26,12.870382411523035
Strategy,14,78,0.08,0.72,-0.29,12.849526126061699
Strategy,14,69,0.08,0.72,-0.27,12.84062790178547
Strategy,15,65,0.08,0.73,-0.26,12.840503653215073
Strategy,14,70,0.08,0.72,-0.26,12.839851120408396
Strategy,13,83,0.08,0.72,-0.26,12.837517825132132
Strategy,11,114,0.08,0.72,-0.28,12.813769732486993
Strategy,15,64,0.08,0.73,-0.27,12.789866816254385
Strategy,14,63,0.08,0.73,-0.28,12.714404141975951
Strategy,10,114,0.08,0.72,-0.29,12.694544164705194
Strategy,10,112,0.08,0.72,-0.27,12.675962131240244
Strategy,13,87,0.08,0.71,-0.29,12.64965129900717
Strategy,10,103,0.08,0.72,-0.3,12.625705380815273
Strategy,13,84,0.08,0.71,-0.3,12.571106910135972
Strategy,11,63,0.08,0.73,-0.21,12.561431883993341
Strategy,17,122,0.08,0.7,-0.29,12.547329532379548
Strategy,14,80,0.08,0.71,-0.3,12.545486007917642
Strategy,10,106,0.08,0.72,-0.29,12.540930292282388
Strategy,13,70,0.08,0.72,-0.28,12.528981021782581
Strategy,14,92,0.08,0.71,-0.27,12.51926604639752
Strategy,16,70,0.08,0.71,-0.29,12.503896880338106
Strategy,10,107,0.08,0.72,-0.3,12.500086372682478
Strategy,13,82,0.08,0.71,-0.28,12.472752321189965
Strategy,16,69,0.08,0.71,-0.28,12.467851870031918
Strategy,10,63,0.08,0.73,-0.22,12.457139077857208
Strategy,16,68,0.08,0.71,-0.26,12.386905600117581
Strategy,10,62,0.08,0.73,-0.24,12.384389746074346
Strategy,17,123,0.08,0.69,-0.3,12.364717381095858
Strategy,13,99,0.08,0.71,-0.3,12.353433318693527
Strategy,17,70,0.08,0.71,-0.3,12.343105291653242
Strategy,13,64,0.08,0.72,-0.28,12.32779096279664
Strategy,15,62,0.08,0.72,-0.29,12.317664103462727
Strategy,12,69,0.08,0.71,-0.29,12.289876106773551
Strategy,11,70,0.08,0.72,-0.27,12.278185917939943
Strategy,14,103,0.08,0.71,-0.3,12.248033685780316
Strategy,11,103,0.08,0.71,-0.3,12.176832183459474
Strategy,11,107,0.08,0.71,-0.25,12.169255838373479
Strategy,17,69,0.08,0.71,-0.3,12.160516769133212
Strategy,10,61,0.08,0.72,-0.24,12.146695528073582
Strategy,11,64,0.08,0.72,-0.23,12.139162954522911
Strategy,11,110,0.08,0.71,-0.29,12.137400186702132
Strategy,15,77,0.08,0.7,-0.28,12.103619374566986
Strategy,11,106,0.08,0.71,-0.25,12.095061709831871
Strategy,12,68,0.08,0.71,-0.29,12.080821983257998
Strategy,14,91,0.08,0.7,-0.3,12.06496223674331
Strategy,13,85,0.08,0.7,-0.3,12.048200905583366
